label,text
spam,Win money now click here
spam,You have won a free lottery prize
spam,Claim your free reward now
spam,Limited time offer click here
spam,Congratulations you won cash
spam,Exclusive bonus prize waiting
spam,You are selected for a free gift
spam,Get cash reward instantly
spam,Claim your free voucher now
spam,Win big cash prize today
spam,Special promotion offer just for you
spam,Click here to claim your prize
spam,You have won a lucky draw
spam,Free entry in a contest win cash
spam,Get free recharge now
spam,You won a free vacation trip
spam,Act now to claim your reward
spam,Limited deal buy now
spam,Exclusive discount offer
spam,Win free mobile phone today
spam,Your number won a prize
spam,You have been selected for cash reward
spam,Urgent claim your reward now
spam,Special offer for selected users
spam,Claim free coupon today
spam,You are lucky winner claim prize
spam,Free bonus waiting for you
spam,Click link to win prize
spam,Get free movie tickets now
spam,Win big money instantly
ham,Hello how are you
ham,Please send the report tomorrow
ham,Let's meet for project discussion
ham,Call me when you are free
ham,Team meeting scheduled today
ham,Thanks for your help
ham,Did you complete the assignment
ham,Let's have lunch tomorrow
ham,Please review the document
ham,I will call you later
ham,Are you coming to the meeting
ham,Send me the project files
ham,We will discuss the plan tomorrow
ham,Please check the email I sent
ham,Can we meet today
ham,Thank you for your support
ham,Let's finalize the project today
ham,Meeting starts at 10 am
ham,Please update the report
ham,I will send the details soon
ham,Are you available now
ham,Let me know your feedback
ham,Please confirm the schedule
ham,Let's discuss this later
ham,Call me once you reach home
ham,Did you receive my message
ham,Please attend the meeting
ham,Can you help me with the project
ham,Let's start the work today
ham,Please share the document
